나이,지출액,세부소비 유형,소비유형,사이즈
20대,583115000,s1,S,0.5
20대,630314000,s2,S,0.5
20대,2771223000,s3,S,0.5
20대,918452000,s4,S,0.5
20대,7334835000,s5,S,0.5
20대,187786000,s6,S,0.5
20대,121653000,s7,S,0.5
20대,268228000,s8,S,0.5
20대,1357646000,t1,T,0.5
20대,547135000,t2,T,0.5
20대,3307603000,t3,T,0.5
20대,11284718000,f1,F,0.5
20대,1061302000,f2,F,0.5
20대,6468126000,f3,F,0.5
20대,22856000,f4,F,0.5
20대,11970979000,g,G,0.5
20대,3296479000,h,H,0.5
20대,376135000,e,E,0.5
20대,843656000,m,M,0.5
20대,2878986000,p,P,0.5
20대,23558000,u1,U,0.5
20대,391622000,u2,U,0.5
20대,2152490150,u3,U,0.5
20대,154877000,u4,U,0.5
30대,583115000,s1,S,0.5
30대,630314000,s2,S,0.5
30대,8637689000,s3,S,0.5
30대,1886810000,s4,S,0.5
30대,24945982000,s5,S,0.5
30대,801696000,s6,S,0.5
30대,224066000,s7,S,0.5
30대,512575000,s8,S,0.5
30대,2000722000,t1,T,0.5
30대,1213155000,t2,T,0.5
30대,12174670000,t3,T,0.5
30대,23203558000,f1,F,0.5
30대,2362591000,f2,F,0.5
30대,20137638000,f3,F,0.5
30대,107891000,f4,F,0.5
30대,34800171000,g,G,0.5
30대,17128526000,h,H,0.5
30대,4090463000,e,E,0.5
30대,843656000,m,M,0.5
30대,7170746000,p,P,0.5
30대,82504000,u1,U,0.5
30대,1423993000,u2,U,0.5
30대,4810448280,u3,U,0.5
30대,683289000,u4,U,0.5
40대,583115000,s1,S,0.5
40대,630314000,s2,S,0.5
40대,8881646000,s3,S,0.5
40대,2390925000,s4,S,0.5
40대,27647064000,s5,S,0.5
40대,1316425000,s6,S,0.5
40대,223329000,s7,S,0.5
40대,354112000,s8,S,0.5
40대,1453664000,t1,T,0.5
40대,1237782000,t2,T,0.5
40대,20119148000,t3,T,0.5
40대,26064886000,f1,F,0.5
40대,2450658000,f2,F,0.5
40대,29399806000,f3,F,0.5
40대,179447000,f4,F,0.5
40대,54071659000,g,G,0.5
40대,28197986000,h,H,0.5
40대,11167784000,e,E,0.5
40대,843656000,m,M,0.5
40대,9103900000,p,P,0.5
40대,172472000,u1,U,0.5
40대,1546657000,u2,U,0.5
40대,7035245960,u3,U,0.5
40대,800795000,u4,U,0.5
50대,583115000,s1,S,0.5
50대,630314000,s2,S,0.5
50대,5367684000,s3,S,0.5
50대,2052515000,s4,S,0.5
50대,14557420000,s5,S,0.5
50대,1701689000,s6,S,0.5
50대,233602000,s7,S,0.5
50대,302211000,s8,S,0.5
50대,1034101000,t1,T,0.5
50대,1055611000,t2,T,0.5
50대,22549857000,t3,T,0.5
50대,21574135000,f1,F,0.5
50대,1636294000,f2,F,0.5
50대,25864494000,f3,F,0.5
50대,201583000,f4,F,0.5
50대,40124585000,g,G,0.5
50대,24693159000,h,H,0.5
50대,3192216000,e,E,0.5
50대,843656000,m,M,0.5
50대,6432193000,p,P,0.5
50대,108260000,u1,U,0.5
50대,886719000,u2,U,0.5
50대,6240994980,u3,U,0.5
50대,641800000,u4,U,0.5
60대,583115000,s1,S,0.5
60대,630314000,s2,S,0.5
60대,2105562000,s3,S,0.5
60대,961193000,s4,S,0.5
60대,4574643000,s5,S,0.5
60대,982411000,s6,S,0.5
60대,129395000,s7,S,0.5
60대,101959000,s8,S,0.5
60대,434327000,t1,T,0.5
60대,397207000,t2,T,0.5
60대,13651691000,t3,T,0.5
60대,8890702000,f1,F,0.5
60대,574793000,f2,F,0.5
60대,13280337000,f3,F,0.5
60대,129230000,f4,F,0.5
60대,17042028000,g,G,0.5
60대,14046448000,h,H,0.5
60대,262962000,e,E,0.5
60대,843656000,m,M,0.5
60대,2030829000,p,P,0.5
60대,42073000,u1,U,0.5
60대,380382000,u2,U,0.5
60대,2514952270,u3,U,0.5
60대,252522000,u4,U,0.5
